implementation,n_repeats,array_size,array_distribution,n_threads,blocksize,avg_time
cuda,5,4194304,reversed,0,128,0.021735
cuda,5,4194304,reversed,0,256,0.021706
cuda,5,4194304,reversed,0,512,0.021577
cuda,5,16777216,uniform,0,128,0.10376
cuda,5,16777216,uniform,0,256,0.103669
cuda,5,16777216,uniform,0,512,0.103701
cuda,5,16777216,gaussian,0,128,0.096819
cuda,5,16777216,gaussian,0,256,0.096487
cuda,5,16777216,gaussian,0,512,0.096667
cuda,5,16777216,nearly_sorted,0,128,0.104013
cuda,5,16777216,nearly_sorted,0,256,0.103434
cuda,5,16777216,nearly_sorted,0,512,0.103944
cuda,5,16777216,reversed,0,128,0.098798
cuda,5,16777216,reversed,0,256,0.09842
cuda,5,16777216,reversed,0,512,0.098879
cuda,5,10000000,uniform,0,128,0.088162
cuda,5,10000000,uniform,0,256,0.087835
cuda,5,10000000,uniform,0,512,0.08789
cuda,5,10000000,gaussian,0,128,0.08411
cuda,5,10000000,gaussian,0,256,0.083452
cuda,5,10000000,gaussian,0,512,0.084383
cuda,5,10000000,nearly_sorted,0,128,0.087853
cuda,5,10000000,nearly_sorted,0,256,0.087386
cuda,5,10000000,nearly_sorted,0,512,0.087665
cuda,5,10000000,reversed,0,128,0.085144
cuda,5,10000000,reversed,0,256,0.084533
cuda,5,10000000,reversed,0,512,0.084877
